818
16	16
   CSTRESS_1    CSTRESS_2    CSTRESS_3    CSTRESS_4    CSTRESS_5    CSTRESS_6    CSTRESS_7    CSTRESS_8    CSTRESS_9   CSTRESS_10   CSTRESS_11   CSTRESS_12   CSTRESS_13   CSTRESS_14   CSTRESS_15   CSTRESS_16 
  117.481064   120.084061   122.387344   124.422691   119.433487   121.785698   123.842407   125.652435   122.672310   124.570694   125.992638   127.018944   124.006927   125.487404   126.541954   126.962524
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    3.328094     1.328798     0.000000     0.000000     1.531725     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   30.284315    17.999094     9.298944     7.782002    19.218845     9.420212     7.907261     6.234962     8.157996     6.544718     4.438736     2.075708     6.680122     4.625263     2.268234     1.247126
   77.829338    75.234756    70.283775    61.232475    75.272697    70.897293    61.893032    51.807285    63.205952    53.541878    40.670700    26.085281    54.279545    41.760242    27.242464    20.544809
  105.505280   106.956207   107.644775   107.340294   106.469543   107.310562   107.038200   106.255539   106.424721   105.846581   103.804520   101.037666   105.579628   103.703827   100.973160    97.229660
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    4.985985     3.242988     1.121709     0.074525     3.425342     1.356764     0.127560     0.000000     0.233075     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   40.938778    30.389145    17.399881    10.529786    31.450926    18.822306    10.891137     8.927015    11.609262     9.157803     7.643679     5.673200     9.264477     7.771842     5.837681     3.678442
   83.834465    82.359039    79.943604    75.939499    82.282150    80.034676    76.123672    68.952423    76.479759    70.121826    61.107960    49.146538    70.646896    61.788868    50.081326    36.875618
  109.493370   111.477638   113.119637   114.083199   110.925110   112.631248   113.651306   113.851616   112.776253   113.185524   112.774773   111.075363   112.822830   112.485458   110.906487   108.623802
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   83.896339    83.005043    81.475395    79.167076    82.891983    81.470131    79.199043    76.223907    79.249847    76.490746    72.590584    67.708427    76.578773    72.795448    67.979332    62.131123
   75.355896    73.493958    70.302032    65.822792    73.514458    70.538269    66.105469    60.803055    66.657806    61.650620    54.799229    46.962532    62.000355    55.342949    47.549397    37.294353
   56.088963    50.965210    42.471771    29.760796    51.391563    43.564022    30.912603    17.827620    33.207378    19.659517    13.226417     7.153119    20.916159    13.709610     7.654396     4.746176
   24.416782    10.254940     5.464220     3.451869    11.696886     5.649447     3.640562     1.594754     4.019459     1.879143     0.973843     0.154101     2.080752     1.040761     0.222189     0.000000
    2.826885     0.578977     0.000000     0.000000     0.808861     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   79.672318    78.387253    76.334328    72.942581    78.334892    76.421936    73.112617    68.767006    73.438187    69.344124    64.174942    57.407825    69.593475    64.526878    57.891579    50.306351
   62.747421    58.773170    53.454659    45.024414    59.084278    53.969929    45.803524    34.149246    47.349232    36.417625    22.851397    16.042128    37.483681    24.100836    16.471367    10.828573
   31.874851    19.927441     8.435549     5.825817    21.249552     9.005789     5.960830     4.108936     6.231031     4.485140     2.336293     1.361908     4.664045     2.538089     1.421912     0.662886
    3.917616     2.005513     0.214486     0.000000     2.221265     0.295075     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
  121.702446   125.202866   128.605881   131.954239   124.462471   127.873253   131.237762   134.291550   129.787994   132.938263   135.752029   138.275009   132.246536   135.093643   137.646729   139.997116
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    0.160831     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    7.166060     4.703130     2.855382     0.839031     4.871956     3.040602     1.056895     0.000000     1.453436     0.037768     0.000000     0.000000     0.092698     0.000000     0.000000     0.000000
   48.750687    39.654953    28.459919    16.140020    40.612812    29.542667    17.454721    10.473514    19.821871    10.870282     9.301964     7.737805    11.241435     9.418372     7.861818     5.984110
   87.773682    86.782364    85.201286    83.128181    86.663101    85.131134    83.171875    78.909851    83.129837    79.699440    71.846313    62.590439    79.863441    72.428093    63.240318    51.965027
  111.775703   114.304085   116.704071   118.952477   113.701492   116.117172   118.392403   119.900818   117.247101   119.012932   119.660583   119.796471   118.519150   119.268486   119.439621   118.712372
    0.256448     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
    8.494859     5.649750     3.933183     2.087333     5.817151     4.107750     2.265656     0.362223     2.621344     0.504639     0.000000     0.000000     0.723163     0.000000     0.000000     0.000000
   53.585594    45.679928    35.373093    24.220760    46.612034    36.370678    25.263952    13.574738    27.332209    14.483673    10.746194     9.327459    15.792998    10.843215     9.437180     7.921088
   90.553764    90.200836    89.168816    87.922173    90.019745    89.019608    87.794075    85.378174    87.524124    85.532631    81.100044    72.808784    85.524971    81.544518    73.351051    64.425415
  114.941483   117.746277   120.383286   122.981331   117.104286   119.752571   122.364380   124.551651   121.115303   123.483276   124.892014   125.361877   122.898544   124.439911   124.958672   125.195625
   89.861633    90.069847    89.824158    89.382141    89.842270    89.631882    89.214684    88.244644    88.856606    88.093666    86.275383    83.566444    87.965904    86.276543    83.616325    80.379929
    0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000     0.000000
   85.473946    85.178696    84.382011    83.397430    85.021202    84.261620    83.300919    81.475983    83.085754    81.602509    78.396187    73.943726    81.576820    78.569038    74.180984    69.337318
